epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,154.183,0.32478,0.3567,0.80339,0.99824,1,0.995,0.92228,0.34469,0.22972,0.81103,0.000717875,0.000717875,0.000717875
45,157.297,0.31443,0.33579,0.80052,0.99516,1,0.995,0.92552,0.34979,0.22187,0.8059,0.0007055,0.0007055,0.0007055
46,160.503,0.30625,0.32611,0.8021,0.99654,1,0.995,0.92304,0.3451,0.22606,0.81151,0.000693125,0.000693125,0.000693125
47,163.77,0.30473,0.31407,0.80367,0.99529,1,0.995,0.92839,0.34042,0.24283,0.80726,0.00068075,0.00068075,0.00068075
48,167.162,0.30122,0.31803,0.80353,0.99039,1,0.995,0.93031,0.3531,0.2306,0.81254,0.000668375,0.000668375,0.000668375
49,170.485,0.31977,0.32778,0.8027,0.99206,1,0.995,0.92599,0.33183,0.22996,0.80625,0.000656,0.000656,0.000656
50,173.989,0.307,0.32634,0.79903,0.9912,1,0.995,0.91919,0.33294,0.22606,0.80577,0.000643625,0.000643625,0.000643625
51,177.641,0.29151,0.30394,0.79177,0.98988,1,0.995,0.93049,0.3175,0.22044,0.80516,0.00063125,0.00063125,0.00063125
52,181.546,0.28898,0.294,0.79656,0.99757,1,0.995,0.92773,0.32728,0.22311,0.80745,0.000618875,0.000618875,0.000618875
53,184.973,0.30135,0.30951,0.79836,0.99661,1,0.995,0.93615,0.3146,0.22382,0.80956,0.0006065,0.0006065,0.0006065
54,188.53,0.29985,0.307,0.80044,0.99806,1,0.995,0.92696,0.33525,0.21924,0.80683,0.000594125,0.000594125,0.000594125
55,191.982,0.28877,0.2921,0.80017,0.99775,1,0.995,0.93011,0.32236,0.21972,0.80387,0.00058175,0.00058175,0.00058175
56,195.389,0.27823,0.27998,0.78837,0.99824,1,0.995,0.92511,0.32693,0.21669,0.80794,0.000569375,0.000569375,0.000569375
57,199.049,0.27924,0.28222,0.79231,0.99798,1,0.995,0.92626,0.3131,0.21049,0.80352,0.000557,0.000557,0.000557
58,202.31,0.26815,0.27692,0.78673,0.99649,1,0.995,0.92817,0.31534,0.20144,0.80406,0.000544625,0.000544625,0.000544625
59,205.807,0.26861,0.27255,0.7958,0.98501,0.99915,0.995,0.91592,0.33957,0.21162,0.80972,0.00053225,0.00053225,0.00053225
60,209.328,0.27629,0.27788,0.79144,0.99233,1,0.9949,0.93581,0.33046,0.20559,0.80945,0.000519875,0.000519875,0.000519875
61,212.711,0.26392,0.26645,0.78946,0.99236,1,0.99479,0.93562,0.30888,0.21093,0.81017,0.0005075,0.0005075,0.0005075
62,216.488,0.25411,0.26093,0.78251,0.99616,1,0.995,0.93751,0.31788,0.2166,0.80939,0.000495125,0.000495125,0.000495125
63,220.209,0.24787,0.25178,0.78475,0.99664,1,0.995,0.93374,0.30498,0.19213,0.8063,0.00048275,0.00048275,0.00048275
64,223.729,0.25497,0.26113,0.79645,0.99718,0.9998,0.995,0.93368,0.32546,0.21428,0.80895,0.000470375,0.000470375,0.000470375
65,227.73,0.25679,0.26122,0.78851,0.9912,1,0.995,0.93103,0.31634,0.20341,0.807,0.000458,0.000458,0.000458
66,231.918,0.24829,0.24846,0.78071,0.98955,1,0.995,0.9333,0.30567,0.20443,0.80531,0.000445625,0.000445625,0.000445625
67,236.112,0.25767,0.25479,0.79086,0.98612,1,0.995,0.93222,0.31534,0.20807,0.80894,0.00043325,0.00043325,0.00043325
68,239.977,0.24715,0.252,0.79014,0.99818,0.99909,0.995,0.9383,0.30152,0.19517,0.80841,0.000420875,0.000420875,0.000420875
69,243.645,0.24433,0.2439,0.78436,0.99829,0.99998,0.995,0.93817,0.29983,0.19824,0.80657,0.0004085,0.0004085,0.0004085
70,247.099,0.24895,0.24442,0.78882,0.99547,0.99988,0.995,0.93137,0.31097,0.20119,0.80659,0.000396125,0.000396125,0.000396125
71,250.01,0.24997,0.2455,0.79549,0.9974,1,0.995,0.93165,0.31254,0.19809,0.80863,0.00038375,0.00038375,0.00038375
