epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,106.779,0.38514,0.34083,0.21128,0.36928,0.84372,0.99599,1,0.995,0.91717,0.99091,0.9949,0.98908,0.98155,0.37099,0.15309,0.12611,0.27,0.8502,0.000915875,0.000915875,0.000915875
29,110.743,0.3984,0.30495,0.2065,0.36348,0.84538,0.99622,1,0.995,0.91342,0.99114,0.9949,0.98786,0.97701,0.35847,0.14988,0.12027,0.26907,0.84733,0.0009035,0.0009035,0.0009035
30,114.43,0.3847,0.34242,0.22674,0.36144,0.84415,0.99772,1,0.995,0.91805,0.99263,0.9949,0.98526,0.97605,0.3596,0.15352,0.11491,0.26421,0.84557,0.000891125,0.000891125,0.000891125
31,118.085,0.38362,0.31815,0.19062,0.3485,0.84376,0.99616,1,0.995,0.92462,0.99107,0.9949,0.98515,0.97876,0.33326,0.14782,0.10779,0.25732,0.84277,0.00087875,0.00087875,0.00087875
32,121.738,0.36253,0.30507,0.19432,0.33547,0.83295,0.99647,0.99883,0.995,0.92589,0.99139,0.99372,0.98526,0.97887,0.335,0.14641,0.10398,0.25941,0.83962,0.000866375,0.000866375,0.000866375
33,125.354,0.38805,0.25027,0.18179,0.33396,0.83594,0.99479,1,0.995,0.91768,0.9897,0.9949,0.98503,0.97848,0.3448,0.15444,0.09867,0.26131,0.84043,0.000854,0.000854,0.000854
34,128.815,0.36573,0.32298,0.17468,0.33977,0.83875,0.99603,1,0.995,0.9167,0.99095,0.9949,0.98566,0.97657,0.34056,0.14085,0.09611,0.24904,0.8429,0.000841625,0.000841625,0.000841625
35,132.354,0.36423,0.29584,0.19705,0.33196,0.83886,0.99667,1,0.995,0.92053,0.99155,0.9949,0.98587,0.97964,0.35163,0.13423,0.09142,0.25043,0.84493,0.00082925,0.00082925,0.00082925
36,135.526,0.3616,0.28387,0.18582,0.3319,0.82951,0.99625,1,0.995,0.92122,0.99116,0.9949,0.98709,0.98141,0.3448,0.13606,0.08943,0.24672,0.84345,0.000816875,0.000816875,0.000816875
37,139.453,0.39316,0.28113,0.16826,0.33173,0.83982,0.99611,1,0.995,0.90854,0.99103,0.9949,0.98679,0.97943,0.38931,0.14528,0.08665,0.25199,0.85631,0.0008045,0.0008045,0.0008045
38,143.618,0.40541,0.27231,0.17656,0.34344,0.83749,0.99603,1,0.995,0.88969,0.99095,0.9949,0.98546,0.97957,0.45451,0.13708,0.08974,0.2774,0.86559,0.000792125,0.000792125,0.000792125
39,147.846,0.37361,0.26519,0.17873,0.32861,0.83756,0.99518,1,0.995,0.90269,0.99011,0.9949,0.98816,0.98335,0.38058,0.13272,0.08495,0.25882,0.84544,0.00077975,0.00077975,0.00077975
40,151.933,0.34559,0.27656,0.17575,0.30957,0.82872,0.99547,1,0.995,0.9212,0.99039,0.9949,0.9898,0.98601,0.32652,0.12563,0.08371,0.2379,0.8405,0.000767375,0.000767375,0.000767375
41,156.167,0.35569,0.28295,0.19044,0.31414,0.83153,0.99641,1,0.995,0.91968,0.99131,0.9949,0.98617,0.98123,0.35452,0.13268,0.08292,0.24318,0.84619,0.000755,0.000755,0.000755
42,160.26,0.3528,0.2262,0.15828,0.30268,0.8267,0.99649,1,0.995,0.92127,0.9914,0.9949,0.98526,0.97959,0.3506,0.12816,0.08226,0.2516,0.84327,0.000742625,0.000742625,0.000742625
43,164.37,0.36158,0.27372,0.17199,0.31561,0.83245,0.99612,1,0.995,0.92792,0.99102,0.9949,0.98526,0.98102,0.33265,0.12413,0.07774,0.24099,0.84114,0.00073025,0.00073025,0.00073025
44,168.583,0.35878,0.25981,0.16251,0.31098,0.82842,0.9928,0.99468,0.9949,0.91467,0.9876,0.98958,0.98515,0.97951,0.33521,0.12515,0.07661,0.23515,0.84119,0.000717875,0.000717875,0.000717875
45,172.735,0.33922,0.26572,0.16677,0.29868,0.81697,0.99677,1,0.995,0.923,0.99168,0.9949,0.98515,0.98053,0.32205,0.13574,0.07637,0.22371,0.83995,0.0007055,0.0007055,0.0007055
46,177.246,0.31179,0.21552,0.16338,0.27351,0.81837,0.99614,1,0.995,0.92245,0.99105,0.9949,0.98556,0.98084,0.3433,0.12201,0.07278,0.2259,0.84274,0.000693125,0.000693125,0.000693125
47,181.427,0.32429,0.23959,0.17174,0.28133,0.82545,0.9971,1,0.995,0.92148,0.99197,0.9949,0.98503,0.97981,0.33424,0.11822,0.07368,0.23801,0.84316,0.00068075,0.00068075,0.00068075
48,185.671,0.34402,0.23039,0.17359,0.28449,0.83072,0.99576,1,0.995,0.91888,0.99067,0.9949,0.98546,0.98095,0.33132,0.12069,0.07179,0.23245,0.83821,0.000668375,0.000668375,0.000668375
49,189.979,0.3338,0.25091,0.15437,0.28339,0.82493,0.9973,1,0.995,0.93071,0.99221,0.9949,0.98658,0.9833,0.32987,0.12679,0.0713,0.22451,0.83501,0.000656,0.000656,0.000656
50,193.977,0.31523,0.25028,0.1579,0.27953,0.81485,0.99664,1,0.995,0.93378,0.99155,0.9949,0.98939,0.98556,0.30099,0.12546,0.07136,0.22082,0.83183,0.000643625,0.000643625,0.000643625
51,197.182,0.32345,0.20799,0.15901,0.27473,0.81705,0.99635,1,0.995,0.92108,0.99126,0.9949,0.98837,0.98478,0.33668,0.11871,0.07145,0.222,0.83772,0.00063125,0.00063125,0.00063125
52,201.034,0.32436,0.20025,0.16318,0.26686,0.81474,0.99645,1,0.995,0.92914,0.99136,0.9949,0.98577,0.98228,0.31742,0.1077,0.06858,0.21633,0.83499,0.000618875,0.000618875,0.000618875
53,204.778,0.313,0.18773,0.1592,0.26875,0.81257,0.99643,1,0.995,0.93072,0.99134,0.9949,0.98556,0.97981,0.30842,0.1174,0.0688,0.20995,0.83306,0.0006065,0.0006065,0.0006065
54,208.99,0.30989,0.20428,0.13733,0.26523,0.8129,0.99733,1,0.995,0.93251,0.99224,0.9949,0.98587,0.98195,0.31511,0.10938,0.06641,0.21686,0.83467,0.000594125,0.000594125,0.000594125
55,213.03,0.30747,0.2021,0.14268,0.26667,0.81785,0.99582,1,0.995,0.9304,0.99073,0.9949,0.9873,0.98318,0.32084,0.11175,0.06524,0.21713,0.83459,0.00058175,0.00058175,0.00058175
56,217.215,0.30452,0.18154,0.14746,0.25544,0.80723,0.99573,1,0.995,0.93022,0.99064,0.9949,0.98786,0.98464,0.32098,0.10451,0.06416,0.22215,0.83626,0.000569375,0.000569375,0.000569375
57,221.991,0.31839,0.19741,0.15943,0.26206,0.81491,0.99762,1,0.995,0.93225,0.99254,0.9949,0.98668,0.98282,0.33668,0.10465,0.06284,0.23093,0.8412,0.000557,0.000557,0.000557
58,226.613,0.32277,0.17274,0.1436,0.26781,0.81348,0.99735,1,0.995,0.92613,0.99227,0.9949,0.9875,0.98396,0.35631,0.10276,0.06369,0.23222,0.83908,0.000544625,0.000544625,0.000544625
59,231.167,0.31278,0.19424,0.1606,0.25888,0.81441,0.99711,1,0.995,0.9235,0.99202,0.9949,0.98658,0.98337,0.3432,0.10773,0.06304,0.22324,0.83821,0.00053225,0.00053225,0.00053225
60,235.485,0.3319,0.1965,0.15305,0.26044,0.8162,0.996,1,0.995,0.92529,0.99087,0.9949,0.98908,0.9859,0.32284,0.10035,0.06177,0.2172,0.83504,0.000519875,0.000519875,0.000519875
61,239.877,0.30209,0.19788,0.14273,0.24913,0.80502,0.99747,1,0.995,0.92917,0.99238,0.9949,0.98827,0.98446,0.3021,0.10187,0.06038,0.21648,0.83163,0.0005075,0.0005075,0.0005075
62,244.207,0.29077,0.1925,0.14749,0.24565,0.80112,0.99727,1,0.995,0.93575,0.99219,0.9949,0.98837,0.98413,0.29907,0.10237,0.06053,0.20948,0.831,0.000495125,0.000495125,0.000495125
63,248.592,0.27869,0.14455,0.14534,0.23794,0.79769,0.99602,1,0.995,0.93204,0.99093,0.9949,0.98679,0.98382,0.31379,0.10137,0.05941,0.21119,0.83387,0.00048275,0.00048275,0.00048275
